,mono,pdc,cdc
120,GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_UP,GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_UP,GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_RARA_AGONIST_AM580_TREATED_DC_UP
121,GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP,GO_NEGATIVE_REGULATION_OF_AXONOGENESIS,GSE3982_EOSINOPHIL_VS_NEUTROPHIL_UP
122,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_6H_CD4_TCELL_UP,GSE3203_HEALTHY_VS_INFLUENZA_INFECTED_LN_BCELL_UP,GSE15330_MEGAKARYOCYTE_ERYTHROID_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP
123,GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_UP,GSE32986_UNSTIM_VS_GMCSF_STIM_DC_UP,GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_UP
124,GSE19198_1H_VS_24H_IL21_TREATED_TCELL_UP,GSE19374_UNINF_VS_LISTERIA_INFECTED_MACROPHAGE_UP,GSE2706_UNSTIM_VS_8H_LPS_DC_UP
125,GSE3982_NEUTROPHIL_VS_TH1_UP,GSE27786_LSK_VS_CD8_TCELL_UP,GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP
126,GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_UP,GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_UP,GSE17721_0.5H_VS_12H_LPS_BMDC_UP
127,GSE17974_0H_VS_6H_IN_VITRO_ACT_CD4_TCELL_UP,GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_UP
128,GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP,GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_4D_CULTURE_UP,GSE15330_HSC_VS_PRO_BCELL_UP
129,GSE41867_DAY6_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP,GSE17721_CTRL_VS_POLYIC_24H_BMDC_UP
130,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_48H_CD4_TCELL_UP,GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_3H_UP,GSE17721_0.5H_VS_12H_GARDIQUIMOD_BMDC_UP
131,GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_8H_UP,GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_UP,GSE17721_0.5H_VS_8H_GARDIQUIMOD_BMDC_UP
132,GO_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP,GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP
133,GSE4748_LPS_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP,GSE20366_CD103_POS_VS_CD103_KLRG1_DP_TREG_UP,GSE369_SOCS3_KO_VS_WT_LIVER_UP
134,GSE17974_0H_VS_0.5H_IN_VITRO_ACT_CD4_TCELL_UP,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_AND_ROSIGLITAZONE_STIM_UP,GSE29617_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP
135,GSE3982_BASOPHIL_VS_TH1_UP,GO_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ER,GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION
136,GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_MACROPHAGE_UP,GSE5589_WT_VS_IL10_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP,GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_NKTCELL_UP
137,GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_UP,KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_UP,GSE27786_NKTCELL_VS_NEUTROPHIL_UP
138,GSE3982_MAST_CELL_VS_TH1_UP,GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_UP,GSE20727_CTRL_VS_ROS_INHIBITOR_TREATED_DC_UP
139,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_FETAL_UP,GSE38304_MYC_NEG_VS_POS_GC_BCELL_UP,KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP
140,GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_UP,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_UP,GSE17721_0.5H_VS_12H_CPG_BMDC_UP
141,GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_UP,GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP
142,GSE3982_MAC_VS_TH2_UP,GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_UP,GSE17721_0.5H_VS_8H_LPS_BMDC_UP
143,GSE21063_WT_VS_NFATC1_KO_16H_ANTI_IGM_STIM_BCELL_UP,GO_CELL_REDOX_HOMEOSTASIS,GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_UP
144,GSE3982_EOSINOPHIL_VS_DC_UP,GSE3982_EFF_MEMORY_CD4_TCELL_VS_NKCELL_UP,GO_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION
145,GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP,GO_NEURON_PROJECTION_EXTENSION,GSE360_CTRL_VS_L_DONOVANI_MAC_UP
146,GO_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING,GSE20366_EX_VIVO_VS_DEC205_CONVERSION_NAIVE_CD4_TCELL_UP,GSE40685_NAIVE_CD4_TCELL_VS_TREG_UP
147,GSE19401_UNSTIM_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_UP,GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_UP,GSE45365_WT_VS_IFNAR_KO_CD8A_DC_UP
148,GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP,GSE21670_UNTREATED_VS_TGFB_TREATED_STAT3_KO_CD4_TCELL_UP,GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE
149,GSE17974_0.5H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP,GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP,GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_UP
150,GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_UP,GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP,GO_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS
151,GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP,GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_UP,GO_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE
152,GSE37416_12H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP,GSE6674_PL2_3_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP
153,GO_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,GSE7460_FOXP3_MUT_VS_WT_ACT_WITH_TGFB_TCONV_UP,GSE3982_MAST_CELL_VS_NEUTROPHIL_UP
154,GSE23502_BM_VS_COLON_TUMOR_MYELOID_DERIVED_SUPPRESSOR_CELL_UP,GSE4142_GC_BCELL_VS_MEMORY_BCELL_UP,GSE339_EX_VIVO_VS_IN_CULTURE_CD8POS_DC_UP
155,GSE360_L_MAJOR_VS_T_GONDII_MAC_UP,GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_UP,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY15_EFFECTOR_CD8_TCELL_UP
156,GSE36826_NORMAL_VS_STAPH_AUREUS_INF_SKIN_UP,GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP,GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10NEG_CD62LPOS_BONE_MARROW_UP
157,GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_UP,GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_3DAY_STIMULATED_BCELL_UP,GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_6H_UP
158,GSE3982_MAST_CELL_VS_TH2_UP,GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP,GO_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS
159,GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP,GO_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,GSE22432_CONVENTIONAL_CDC_VS_PLASMACYTOID_PDC_UP
160,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP,GO_CENTROMERE_COMPLEX_ASSEMBLY,GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP
161,GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP,GSE27786_LIN_NEG_VS_BCELL_UP,GSE27859_DC_VS_CD11C_INT_F480_HI_MACROPHAGE_UP
162,GO_REGULATION_OF_COAGULATION,GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP,GSE43863_NAIVE_VS_MEMORY_TH1_CD4_TCELL_D150_LCMV_UP
163,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP,GSE13229_IMM_VS_INTMATURE_NKCELL_UP,GSE14000_UNSTIM_VS_16H_LPS_DC_UP
164,GSE10325_CD4_TCELL_VS_BCELL_UP,GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_UP,GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_UP
165,GSE17974_0H_VS_12H_IN_VITRO_ACT_CD4_TCELL_UP,GO_STEROL_HOMEOSTASIS,GSE40666_UNTREATED_VS_IFNA_STIM_EFFECTOR_CD8_TCELL_90MIN_UP
166,GSE3982_MEMORY_CD4_TCELL_VS_BCELL_UP,GSE5679_CTRL_VS_RARA_AGONIST_AM580_TREATED_DC_UP,GO_PROTEIN_TARGETING_TO_MITOCHONDRION
167,GSE3982_MAC_VS_BASOPHIL_UP,GSE21670_UNTREATED_VS_IL6_TREATED_CD4_TCELL_UP,GSE20198_IL12_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_UP
168,GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_YOUNG_UP,GSE10325_MYELOID_VS_LUPUS_MYELOID_UP,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_UP
169,GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_UP,GO_EMBRYONIC_PATTERN_SPECIFICATION,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP
170,GO_REGULATION_OF_NITRIC_OXIDE_BIOSYNTHETIC_PROCESS,GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_UP,GSE17721_12H_VS_24H_PAM3CSK4_BMDC_UP
171,GSE3982_EOSINOPHIL_VS_TH2_UP,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_1H_UP,GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP
172,GSE360_CTRL_VS_T_GONDII_DC_UP,GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_ROSIGLITAZONE_TREATED_UP,GSE3039_NKT_CELL_VS_ALPHABETA_CD8_TCELL_UP
173,GO_PROTEIN_ACTIVATION_CASCADE,GO_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_IFNAR_KO_UP
174,GO_CELLULAR_RESPONSE_TO_MECHANICAL_STIMULUS,GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_UP,GSE22033_UNTREATED_VS_ROSIGLITAZONE_TREATED_MEF_UP
175,GSE20715_0H_VS_48H_OZONE_LUNG_UP,GSE22886_IL2_VS_IL15_STIM_NKCELL_UP,GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP
176,GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP,GO_MALE_MEIOSIS,GSE12366_GC_BCELL_VS_PLASMA_CELL_UP
177,GSE46242_TH1_VS_ANERGIC_TH1_CD4_TCELL_UP,GO_RNA_3_END_PROCESSING,GSE3982_MAST_CELL_VS_MAC_UP
178,GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_UP,GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_UP,GSE17721_CPG_VS_GARDIQUIMOD_0.5H_BMDC_UP
179,GO_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP,GSE3982_MAST_CELL_VS_NKCELL_UP
180,GSE8515_IL1_VS_IL6_4H_STIM_MAC_UP,GSE7852_LN_VS_FAT_TCONV_UP,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_17H_UP
181,GSE3982_NEUTROPHIL_VS_BASOPHIL_UP,GSE13411_NAIVE_VS_MEMORY_BCELL_UP,GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_0.8H_UP
182,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_4H_CD4_TCELL_UP,GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,GSE2770_UNTREATED_VS_ACT_CD4_TCELL_48H_UP
183,GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP,GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_12H_UP,GSE17721_LPS_VS_PAM3CSK4_24H_BMDC_UP
184,GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_UP,GSE32986_UNSTIM_VS_CURDLAN_LOWDOSE_STIM_DC_UP,GSE46242_CTRL_VS_EGR2_DELETED_TH1_CD4_TCELL_UP
185,GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP,GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_NK_CELL_UP,GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY3_UP
186,GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP,GSE27786_LSK_VS_NKCELL_UP,GSE5679_CTRL_VS_RARA_AGONIST_AM580_TREATED_DC_UP
187,GO_RECEPTOR_INTERNALIZATION,GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP,GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_UP
188,GSE20715_0H_VS_24H_OZONE_LUNG_UP,GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP,GSE2706_UNSTIM_VS_8H_LPS_AND_R848_DC_UP
189,GSE3982_EOSINOPHIL_VS_TH1_UP,GSE23568_ID3_KO_VS_WT_CD8_TCELL_UP,GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP
190,GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_UP,GO_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS,GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_UP
191,GSE2706_R848_VS_R848_AND_LPS_8H_STIM_DC_UP,GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP,GSE7400_CTRL_VS_CSF3_IN_VIVO_TREATED_PBMC_UP
192,GO_AMINOGLYCAN_CATABOLIC_PROCESS,GO_HISTONE_H4_ACETYLATION,GO_PURINE_NUCLEOSIDE_BIOSYNTHETIC_PROCESS
193,GSE2585_CTEC_VS_MTEC_THYMUS_UP,GO_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GSE18893_CTRL_VS_TNF_TREATED_TCONV_2H_UP
194,GSE3982_MAST_CELL_VS_BCELL_UP,GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_UP,GSE24671_BAKIMULC_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP
195,GSE23925_LIGHT_ZONE_VS_NAIVE_BCELL_UP,GSE43863_TFH_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP,GO_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS
196,GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_DC_UP,GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_UP,GSE17721_0.5H_VS_4H_GARDIQUIMOD_BMDC_UP
197,GSE37416_0H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE24492_LYVE_NEG_VS_POS_MACROPHAGE_UP,GSE33292_DN3_THYMOCYTE_VS_TCF1_KO_TCELL_LYMPHOMA_UP
198,GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP,GO_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_ENDONUCLEOLYTIC,GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_UP
199,GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP,GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_UP,GSE5099_DAY3_VS_DAY7_MCSF_TREATED_MACROPHAGE_UP
200,GO_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP,GSE411_UNSTIM_VS_100MIN_IL6_STIM_MACROPHAGE_UP
201,GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_DC_UP,GO_PEPTIDYL_PROLINE_MODIFICATION,GSE31082_DN_VS_CD8_SP_THYMOCYTE_UP
202,GSE32986_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP,GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_UP,GO_MATURATION_OF_SSU_RRNA
203,GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_UP,GO_MULTI_ORGANISM_BEHAVIOR,GO_RIBOSOME_ASSEMBLY
204,GO_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP,GSE22196_HEALTHY_VS_OBESE_MOUSE_SKIN_GAMMADELTA_TCELL_UP
205,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_UP,GSE8685_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP,GSE3982_DC_VS_NKCELL_UP
206,GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP,GSE360_DC_VS_MAC_T_GONDII_UP,GO_HOMOTYPIC_CELL_CELL_ADHESION
207,GO_REGULATION_OF_VASOCONSTRICTION,GSE6566_STRONG_VS_WEAK_DC_STIMULATED_CD4_TCELL_UP,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_1H_UP
208,GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP,GSE10325_BCELL_VS_LUPUS_BCELL_UP,GSE15930_STIM_VS_STIM_AND_IFNAB_48H_CD8_T_CELL_UP
209,GSE21033_CTRL_VS_POLYIC_STIM_DC_6H_UP,GSE24102_GRANULOCYSTIC_MDSC_VS_NEUTROPHIL_UP,GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_UP
210,GSE37416_0H_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE12366_NAIVE_VS_MEMORY_BCELL_UP,GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_1H_UP
211,GSE12392_IFNAR_KO_VS_IFNB_KO_CD8_NEG_SPLEEN_DC_UP,GSE22886_NAIVE_TCELL_VS_DC_UP,GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_NAIVE_CD8_TCELL_UP
212,GSE21774_CD56_BRIGHT_VS_DIM_CD62L_POSITIVE_NK_CELL_UP,GSE22886_NAIVE_VS_MEMORY_TCELL_UP,GSE15659_CD45RA_NEG_CD4_TCELL_VS_RESTING_TREG_UP
213,GSE360_L_DONOVANI_VS_T_GONDII_DC_UP,GSE41867_NAIVE_VS_DAY8_LCMV_EFFECTOR_CD8_TCELL_UP,GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP
214,GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP,GSE27786_ERYTHROBLAST_VS_MONO_MAC_UP,GO_THIOESTER_METABOLIC_PROCESS
215,GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP,GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_UP,GSE17721_CTRL_VS_PAM3CSK4_8H_BMDC_UP
216,GSE32986_CURDLAN_LOWDOSE_VS_CURDLAN_HIGHDOSE_STIM_DC_UP,GO_LIPOPROTEIN_BIOSYNTHETIC_PROCESS,GSE17721_PAM3CSK4_VS_CPG_12H_BMDC_UP
217,GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP,GO_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_UP
218,GO_REGULATION_OF_CHEMOKINE_PRODUCTION,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_UP,GSE7764_IL15_NK_CELL_24H_VS_SPLENOCYTE_UP
219,GSE21774_CD62L_POS_CD56_BRIGHT_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP,GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_DERIVED_MACROPHAGE_UP,GSE41867_NAIVE_VS_DAY30_LCMV_ARMSTRONG_MEMORY_CD8_TCELL_UP
220,GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP,GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_UP
221,GSE22601_DOUBLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP,GSE9988_LPS_VS_LOW_LPS_MONOCYTE_UP,GO_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL
222,GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_DC_UP,GSE3920_UNTREATED_VS_IFNB_TREATED_ENDOTHELIAL_CELL_UP,GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP
223,GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP,GO_OLIGOSACCHARIDE_METABOLIC_PROCESS,GSE43955_10H_VS_60H_ACT_CD4_TCELL_UP
224,GSE27670_BLIMP1_VS_LMP1_TRANSDUCED_GC_BCELL_UP,GSE25088_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_UP,GSE3982_MAC_VS_EFF_MEMORY_CD4_TCELL_UP
225,GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP,GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TREATED_CD4_TCELL_UP,GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UP
226,GSE42021_CD24INT_VS_CD24LOW_TCONV_THYMUS_UP,GSE21379_WT_VS_SAP_KO_CD4_TCELL_UP,GSE12392_WT_VS_IFNB_KO_CD8A_POS_SPLEEN_DC_UP
227,GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP,GO_MRNA_3_END_PROCESSING,GSE20500_CTRL_VS_RETINOIC_ACID_TREATED_CD4_TCELL_UP
228,GSE3982_BASOPHIL_VS_NKCELL_UP,GO_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION,GSE6674_CPG_VS_PL2_3_STIM_BCELL_UP
229,GSE37416_12H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GO_RIBOSOME_ASSEMBLY,GSE17721_CTRL_VS_LPS_12H_BMDC_UP
230,GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_12H_UP,GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP,GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_UP
231,GSE7460_CD8_TCELL_VS_TREG_ACT_UP,GSE19888_CTRL_VS_A3R_INHIBITOR_TREATED_MAST_CELL_UP,GSE25123_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_UP
232,GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP,GSE41978_WT_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,GO_PROTEIN_TRANSMEMBRANE_TRANSPORT
233,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_FETAL_UP,GSE3982_MAST_CELL_VS_MAC_UP,GSE15330_HSC_VS_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_IKAROS_KO_UP
234,GSE16266_CTRL_VS_LPS_STIM_MEF_UP,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_UP,GO_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS
235,GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP,GO_INNER_EAR_MORPHOGENESIS,GSE17721_LPS_VS_POLYIC_8H_BMDC_UP
236,GSE24142_ADULT_VS_FETAL_DN2_THYMOCYTE_UP,GO_HIPPOCAMPUS_DEVELOPMENT,GSE360_CTRL_VS_M_TUBERCULOSIS_MAC_UP
