,b,t
176,GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_UP,GSE41978_WT_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP
177,GSE33424_CD161_INT_VS_NEG_CD8_TCELL_UP,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_UP
178,GSE3203_HEALTHY_VS_INFLUENZA_INFECTED_LN_BCELL_UP,GSE20366_CD103_POS_VS_CD103_KLRG1_DP_TREG_UP
179,GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_UP,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY6_EFFECTOR_CD8_TCELL_UP
180,GSE3039_NKT_CELL_VS_B2_BCELL_UP,GSE36009_WT_VS_NLRP10_KO_DC_LPS_STIM_UP
181,GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_UP,GSE14350_TREG_VS_TEFF_IN_IL2RB_KO_UP
182,GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP
183,GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP,GSE22103_LPS_VS_GMCSF_AND_IFNG_STIM_NEUTROPHIL_UP
184,GSE26290_WT_VS_PDK1_KO_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_UP,GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP
185,GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP,GSE8685_IL2_STARVED_VS_IL15_ACT_IL2_STARVED_CD4_TCELL_UP
186,GO_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,GSE7764_IL15_NK_CELL_24H_VS_SPLENOCYTE_UP
187,GSE40666_WT_VS_STAT1_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP,GSE5142_HTERT_TRANSDUCED_VS_CTRL_CD8_TCELL_LATE_PASSAGE_CLONE_UP
188,GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_UP,GO_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS
189,GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_UP,GSE39556_CD8A_DC_VS_NK_CELL_UP
190,GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_2H_UP,GSE3982_EOSINOPHIL_VS_NEUTROPHIL_UP
191,GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_24H_IFNG_STIM_UP,GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP
192,GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_UP,GSE1925_3H_VS_24H_IFNG_STIM_IFNG_PRIMED_MACROPHAGE_UP
193,GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_UP,GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I_BIOGENESIS
194,GSE40274_FOXP3_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE3982_MAC_VS_NEUTROPHIL_UP
195,GSE7852_TREG_VS_TCONV_FAT_UP,GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_UP
196,GSE2826_WT_VS_BTK_KO_BCELL_UP,GSE27786_LSK_VS_NKCELL_UP
197,GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_NK_CELL_UP,GSE3982_MAST_CELL_VS_BCELL_UP
198,GSE32034_LY6C_HIGH_VS_LOW_MONOCYTE_UP,GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_UP
199,GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP,GSE18203_CTRL_VS_INTRATUMORAL_CPG_INJ_MC38_TUMOR_UP
200,GSE46242_TH1_VS_ANERGIC_TH1_CD4_TCELL_WITH_EGR2_DELETED_UP,GSE19888_ADENOSINE_A3R_ACT_VS_A3R_ACT_WITH_A3R_INH_PRETREATMENT_IN_MAST_CELL_UP
201,GSE40274_HELIOS_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE20500_CTRL_VS_RETINOIC_ACID_TREATED_CD4_TCELL_UP
202,GSE22886_NAIVE_VS_IGG_IGA_MEMORY_BCELL_UP,GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_UP
203,GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP,GSE14350_IL2RB_KO_VS_WT_TREG_UP
204,GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP,GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP
205,GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP,GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_UP
206,GO_CELL_REDOX_HOMEOSTASIS,GSE3982_MAST_CELL_VS_DC_UP
207,GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP,GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP
208,GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP,GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP
209,GSE37416_12H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE15735_2H_VS_12H_HDAC_INHIBITOR_TREATED_CD4_TCELL_UP
210,GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP,GO_REGULATION_OF_RNA_SPLICING
211,GSE3982_MAC_VS_TH1_UP,GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP
212,GO_POSITIVE_REGULATION_OF_JUN_KINASE_ACTIVITY,GSE41867_NAIVE_VS_DAY15_LCMV_EFFECTOR_CD8_TCELL_UP
213,GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_UP,GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_3H_UP
214,GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP,GSE3039_NKT_CELL_VS_ALPHABETA_CD8_TCELL_UP
215,GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_UP,GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY
216,GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_UP,GSE27859_DC_VS_CD11C_INT_F480_HI_MACROPHAGE_UP
217,GSE6875_TCONV_VS_FOXP3_KO_TREG_UP,GSE411_100MIN_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP
218,GSE42088_2H_VS_24H_LEISHMANIA_INF_DC_UP,GSE27786_LSK_VS_NEUTROPHIL_UP
219,GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP,GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP
220,GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_UP,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP
221,GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP,GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_UP
222,GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_UP,GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME
223,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_24H_UP,GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP
224,GO_CELLULAR_RESPONSE_TO_CALCIUM_ION,GSE14769_40MIN_VS_360MIN_LPS_BMDM_UP
225,GSE3982_DC_VS_TH1_UP,GO_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY
226,GO_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS,GSE21360_NAIVE_VS_TERTIARY_MEMORY_CD8_TCELL_UP
227,GSE17721_CPG_VS_GARDIQUIMOD_1H_BMDC_UP,GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP
228,GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP
229,GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP,GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_LN_UP
230,GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_UP,GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_UP
231,GSE28737_FOLLICULAR_VS_MARGINAL_ZONE_BCELL_BCL6_HET_UP,GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_UP
232,GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_UP,GO_MRNA_3_END_PROCESSING
233,GSE3039_CD4_TCELL_VS_B2_BCELL_UP,GSE17721_PAM3CSK4_VS_CPG_12H_BMDC_UP
234,GO_REGULATION_OF_PHAGOCYTOSIS,GSE17721_CTRL_VS_CPG_12H_BMDC_UP
235,GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP,GSE8678_IL7R_LOW_VS_HIGH_EFF_CD8_TCELL_UP
236,GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_UP,GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA2_STIM_CD8_TCELL_UP
237,GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP,GO_DNA_GEOMETRIC_CHANGE
238,GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_UP,GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_UP
239,GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_UP
240,GSE21670_UNTREATED_VS_TGFB_TREATED_STAT3_KO_CD4_TCELL_UP,GO_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING
241,GSE36009_UNSTIM_VS_LPS_STIM_DC_UP,GSE31082_DN_VS_CD8_SP_THYMOCYTE_UP
242,GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_UP,GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA5_STIM_CD8_TCELL_UP
243,GSE22432_MULTIPOTENT_PROGENITOR_VS_PDC_UP,GSE17721_0.5H_VS_24H_PAM3CSK4_BMDC_UP
244,GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP,GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP
245,GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_UP,GO_REGULATION_OF_HISTONE_METHYLATION
246,GSE6875_WT_VS_FOXP3_KO_TREG_UP,GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP
247,GSE23321_CENTRAL_MEMORY_VS_NAIVE_CD8_TCELL_UP,GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL
248,GSE2826_WT_VS_XID_BCELL_UP,GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP
249,GO_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT,GO_EPITHELIAL_TO_MESENCHYMAL_TRANSITION
250,GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,GSE23925_DARK_ZONE_VS_NAIVE_BCELL_UP
251,GSE22886_NEUTROPHIL_VS_DC_UP,GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_UP
252,GSE3982_MEMORY_CD4_TCELL_VS_TH2_UP,GO_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT
253,GSE22432_MULTIPOTENT_PROGENITOR_VS_CDC_UP,GO_PYRUVATE_METABOLIC_PROCESS
254,GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_UP,GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP
255,GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_IN_MAST_CELL_UP,GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP
256,GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP,GSE27786_CD4_TCELL_VS_MONO_MAC_UP
257,GSE28726_NAIVE_VS_ACTIVATED_NKTCELL_UP,GSE26727_WT_VS_KLF2_KO_LPS_STIM_MACROPHAGE_UP
258,GSE9239_CTRL_VS_TNF_INHIBITOR_TREATED_DC_UP,GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_YOUNG_UP
259,GSE24972_MARGINAL_ZONE_BCELL_VS_FOLLICULAR_BCELL_IRF8_KO_UP,GSE27786_LIN_NEG_VS_NKCELL_UP
260,GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_UP,GSE369_SOCS3_KO_VS_WT_LIVER_UP
261,GSE360_DC_VS_MAC_UP,GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP
262,GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_UP,GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP
263,GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP,GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP
264,GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_UP,GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY
265,GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP,GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_LPS_STIM_UP
266,GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP,GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_UP
267,GSE9960_HEALTHY_VS_GRAM_NEG_SEPSIS_PBMC_UP,GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP
268,GSE15733_BM_VS_SPLEEN_MEMORY_CD4_TCELL_UP,GSE14769_20MIN_VS_360MIN_LPS_BMDM_UP
269,GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_UP,GSE41867_NAIVE_VS_DAY30_LCMV_ARMSTRONG_MEMORY_CD8_TCELL_UP
270,GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY7_UP,GO_ORGAN_REGENERATION
271,GSE36078_UNTREATED_VS_AD5_INF_MOUSE_LUNG_DC_UP,GSE17721_CTRL_VS_POLYIC_4H_BMDC_UP
272,GSE20727_ROS_INH_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP,GSE27786_NKTCELL_VS_NEUTROPHIL_UP
273,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_17H_UP,GSE3691_IFN_PRODUCING_KILLER_DC_VS_CONVENTIONAL_DC_SPLEEN_UP
274,GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_UP,GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP
275,GSE7852_TREG_VS_TCONV_THYMUS_UP,GO_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY
276,GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_UP,GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_UP
277,GSE13522_WT_VS_IFNAR_KO_SKING_T_CRUZI_Y_STRAIN_INF_UP,GSE27786_LIN_NEG_VS_MONO_MAC_UP
278,GSE9037_CTRL_VS_LPS_4H_STIM_BMDM_UP,GO_AEROBIC_RESPIRATION
279,GSE40184_HEALTHY_VS_HCV_INFECTED_DONOR_PBMC_UP,GSE30971_2H_VS_4H_LPS_STIM_MACROPHAGE_WBP7_KO_UP
280,GO_REGULATION_OF_MAST_CELL_ACTIVATION,GSE26669_CD4_VS_CD8_TCELL_IN_MLR_COSTIM_BLOCK_UP
281,GO_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_NKTCELL_UP
282,GSE36392_EOSINOPHIL_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP,GO_POSITIVE_REGULATION_OF_STEM_CELL_DIFFERENTIATION
283,GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,GO_RNA_3_END_PROCESSING
284,GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,GSE15330_HSC_VS_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_IKAROS_KO_UP
285,GO_NEGATIVE_REGULATION_OF_CYTOKINE_SECRETION,GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UP
286,GO_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP
287,GO_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING,GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_UP
288,GSE17721_POLYIC_VS_GARDIQUIMOD_16H_BMDC_UP,GSE6674_UNSTIM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP
289,GSE22589_HEALTHY_VS_SIV_INFECTED_DC_UP,GSE17721_LPS_VS_POLYIC_8H_BMDC_UP
290,GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_UP
291,GSE43955_10H_VS_30H_ACT_CD4_TCELL_UP,GSE7460_CD8_TCELL_VS_TREG_ACT_UP
292,GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH,GSE29949_CD8_NEG_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_UP
293,GSE11973_MIR223_KOVS_WT_BONE_MARROW_NEUTROPHIL_UP,GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_RAG2_KO_NK_CELL_UP
294,GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_UP,GSE360_T_GONDII_VS_B_MALAYI_HIGH_DOSE_MAC_UP
295,GSE41867_NAIVE_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP,GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP
296,GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP,GSE45881_CXCR6HI_VS_CXCR1LO_COLONIC_LAMINA_PROPRIA_UP
297,GSE21063_WT_VS_NFATC1_KO_16H_ANTI_IGM_STIM_BCELL_UP,GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_UP
298,GSE17721_LPS_VS_PAM3CSK4_24H_BMDC_UP,GO_G1_DNA_DAMAGE_CHECKPOINT
299,GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP,GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_UP
300,GSE3982_NEUTROPHIL_VS_TH2_UP,GO_PHOSPHOLIPID_TRANSPORT
301,GSE17186_BLOOD_VS_CORD_BLOOD_CD21HIGH_TRANSITIONAL_BCELL_UP,GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_UP
302,GSE2585_CTEC_VS_THYMIC_DC_UP,GO_POSITIVE_REGULATION_OF_CHROMATIN_MODIFICATION
303,GO_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS,GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP
304,GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_CTRL_CD4_TCELL_UP,GSE360_CTRL_VS_L_MAJOR_MAC_UP
305,GO_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP
306,GSE45365_NK_CELL_VS_BCELL_UP,GSE22432_CONVENTIONAL_CDC_VS_PLASMACYTOID_PDC_UP
307,GO_RIBOSOME_ASSEMBLY,GSE339_CD8POS_VS_CD4CD8DN_DC_UP
308,GO_RESPONSE_TO_FUNGUS,GSE12392_WT_VS_IFNB_KO_CD8A_NEG_SPLEEN_DC_UP
309,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_UP,GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_UP
310,GSE29164_UNTREATED_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP,GSE11924_TH1_VS_TH2_CD4_TCELL_UP
311,GO_CELLULAR_RESPONSE_TO_DRUG,GSE43863_TFH_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP
312,GSE34515_CD16_NEG_MONOCYTE_VS_DC_UP,GO_MACROMOLECULE_DEACYLATION
313,GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_UP,GO_NEGATIVE_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS
314,GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_UP,GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_TREATED_DC_UP
315,GSE8685_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP,GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_2H_UP
316,GO_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION,GSE11961_MARGINAL_ZONE_BCELL_VS_PLASMA_CELL_DAY7_UP
317,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY15_EFFECTOR_CD8_TCELL_UP,GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_UP
318,GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP,GSE17721_PAM3CSK4_VS_CPG_24H_BMDC_UP
319,GSE17721_LPS_VS_GARDIQUIMOD_16H_BMDC_UP,GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP
320,GO_JNK_CASCADE,GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_UP
321,GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP,GSE17721_CTRL_VS_PAM3CSK4_8H_BMDC_UP
322,GO_CRANIAL_SKELETAL_SYSTEM_DEVELOPMENT,GSE8685_IL2_STARVED_VS_IL2_ACT_IL2_STARVED_CD4_TCELL_UP
323,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_3H_UP,GO_MITOCHONDRIAL_MEMBRANE_ORGANIZATION
324,GSE3982_EOSINOPHIL_VS_BASOPHIL_UP,GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY3_UP
325,GSE5099_DAY3_VS_DAY7_MCSF_TREATED_MACROPHAGE_UP,GSE41867_NAIVE_VS_DAY8_LCMV_EFFECTOR_CD8_TCELL_UP
326,GO_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION,GSE43863_NAIVE_VS_TH1_EFF_CD4_TCELL_D6_LCMV_UP
327,GSE2128_C57BL6_VS_NOD_CD4CD8_DP_THYMOCYTE_UP,GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_UP
328,GSE3203_INFLUENZA_INF_VS_IFNB_TREATED_LN_BCELL_UP,GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_UP
329,GO_REGULATION_OF_FIBROBLAST_PROLIFERATION,GO_REGULATION_OF_DNA_RECOMBINATION
330,GSE3994_WT_VS_PAC1_KO_ACTIVATED_MAST_CELL_UP,GSE27786_CD4_TCELL_VS_NEUTROPHIL_UP
331,GSE27786_NKCELL_VS_NKTCELL_UP,GSE29949_DC_BRAIN_VS_MONOCYTE_BONE_MARROW_UP
332,GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_UP
333,GO_POSITIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP
334,GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_UP,GSE17721_LPS_VS_GARDIQUIMOD_24H_BMDC_UP
335,GSE42724_NAIVE_VS_B1_BCELL_UP,GSE17721_CTRL_VS_POLYIC_1H_BMDC_UP
336,GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP,GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP
337,GSE29618_PDC_VS_MDC_UP,GSE22886_UNSTIM_VS_STIM_MEMORY_TCELL_UP
338,GSE30083_SP1_VS_SP2_THYMOCYTE_UP,GO_REGULATION_OF_CHROMOSOME_SEGREGATION
339,GSE19825_NAIVE_VS_IL2RAHIGH_DAY3_EFF_CD8_TCELL_UP,GO_NEGATIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
340,GSE13522_WT_VS_IFNAR_KO_SKIN_UP,GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_UP
341,GO_AMINOGLYCAN_CATABOLIC_PROCESS,GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP
342,GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_UP,GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP
343,GO_NEPHRON_EPITHELIUM_DEVELOPMENT,GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_UP
344,GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP,GSE15930_STIM_VS_STIM_AND_IL12_48H_CD8_T_CELL_UP
345,GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP,GSE11961_MEMORY_BCELL_DAY7_VS_MEMORY_BCELL_DAY40_UP
346,GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_WT_LIVER_UP,GSE17721_PAM3CSK4_VS_CPG_6H_BMDC_UP
