,b,t,mono
119,GO_EMBRYONIC_HEART_TUBE_MORPHOGENESIS,GSE27786_CD8_TCELL_VS_NKCELL_UP,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_FETAL_UP
120,GSE21670_TGFB_VS_IL6_TREATED_CD4_TCELL_UP,GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_UP,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I
121,GO_REGULATION_OF_SYNAPSE_ASSEMBLY,GSE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_UP,GSE339_CD8POS_VS_CD4CD8DN_DC_UP
122,GSE33425_CD161_HIGH_VS_NEG_CD8_TCELL_UP,GSE30962_ACUTE_VS_CHRONIC_LCMV_SECONDARY_INF_CD8_TCELL_UP,GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP
123,GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_UP,GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE3982_MAC_VS_BCELL_UP
124,GSE12198_CTRL_VS_HIGH_IL2_STIM_NK_CELL_UP,GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,GSE3337_CTRL_VS_4H_IFNG_IN_CD8POS_DC_UP
125,GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_3DAY_STIMULATED_BCELL_UP,GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_IFNAR_KO_UP,GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP
126,GSE39916_B_CELL_SPLEEN_VS_PLASMA_CELL_BONE_MARROW_UP,GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_UP,GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP
127,GO_NEPHRON_EPITHELIUM_DEVELOPMENT,GSE2124_CTRL_VS_LYMPHOTOXIN_BETA_TREATED_MLN_UP,GSE39382_IL3_VS_IL3_IL33_TREATED_MAST_CELL_UP
128,GSE28237_FOLLICULAR_VS_LATE_GC_BCELL_UP,GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS,GSE2770_UNTREATED_VS_ACT_CD4_TCELL_6H_UP
129,GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_UP,GO_G1_DNA_DAMAGE_CHECKPOINT,GSE40666_UNTREATED_VS_IFNA_STIM_EFFECTOR_CD8_TCELL_90MIN_UP
130,GO_NEUROPEPTIDE_SIGNALING_PATHWAY,GSE17812_WT_VS_THPOK_KO_MEMORY_CD8_TCELL_UP,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_UP
131,GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP,GO_MITOTIC_DNA_INTEGRITY_CHECKPOINT,GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP
132,GSE27786_BCELL_VS_NKCELL_UP,GSE30971_2H_VS_4H_LPS_STIM_MACROPHAGE_WBP7_KO_UP,KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP
133,GSE11961_MARGINAL_ZONE_BCELL_VS_PLASMA_CELL_DAY7_UP,GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_UP,GSE17721_0.5H_VS_8H_CPG_BMDC_UP
134,GSE25502_WT_VS_KLF13_KO_THYMIC_MEMORY_LIKE_CD8_TCELL_UP,GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_UP,GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_UP
135,GSE28737_BCL6_HET_VS_BCL6_KO_MARGINAL_ZONE_BCELL_UP,GSE10325_BCELL_VS_MYELOID_UP,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_UP
136,GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_UP,GSE22886_NEUTROPHIL_VS_MONOCYTE_UP,GSE34156_UNTREATED_VS_24H_NOD2_AND_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP
137,GO_MATURATION_OF_SSU_RRNA,GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP,GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_UP
138,GSE16385_UNTREATED_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP,GSE26727_WT_VS_KLF2_KO_LPS_STIM_MACROPHAGE_UP,GSE36826_WT_VS_IL1R_KO_SKIN_STAPH_AUREUS_INF_UP
139,GSE21670_TGFB_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP,GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_UP
140,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP,GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP,GO_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS
141,GO_EMBRYONIC_HEART_TUBE_DEVELOPMENT,GSE32423_CTRL_VS_IL7_IL4_MEMORY_CD8_TCELL_UP,GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_2H_UP
142,GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS,GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP,GSE20715_0H_VS_6H_OZONE_LUNG_UP
143,GSE10325_MYELOID_VS_LUPUS_MYELOID_UP,GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_6H_UP,GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP
144,GO_RESPONSE_TO_PH,KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_UP,GO_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY
145,GSE13411_NAIVE_VS_MEMORY_BCELL_UP,GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_UP,GO_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS
146,GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_3H_UP,GO_REGULATION_OF_CELL_KILLING,GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP
147,GSE8685_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP,GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP,GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_UP
148,GSE2706_UNSTIM_VS_2H_LPS_DC_UP,GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_IMMATURE_NEURON_CELL_LINE_UP,GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP
149,GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP,GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP,GSE32533_MIR17_KO_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP
150,GSE30083_SP2_VS_SP4_THYMOCYTE_UP,GSE21063_WT_VS_NFATC1_KO_BCELL_UP,GSE42021_CD24INT_TREG_VS_CD24INT_TCONV_THYMUS_UP
151,GSE7852_TREG_VS_TCONV_LN_UP,GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_3H_UP,GSE3982_EOSINOPHIL_VS_NKCELL_UP
152,GSE29618_PRE_VS_DAY7_FLU_VACCINE_MDC_UP,GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP,GSE14000_4H_VS_16H_LPS_DC_TRANSLATED_RNA_UP
153,GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP,GO_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE,GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_UP
154,GSE7852_LN_VS_THYMUS_TREG_UP,GSE7831_UNSTIM_VS_CPG_STIM_PDC_4H_UP,GSE37416_12H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP
155,GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_UP,GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT,GSE3982_MAST_CELL_VS_TH1_UP
156,GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_UP,GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_BCELL_UP,GSE3982_MAC_VS_TH2_UP
157,GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_UP,GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH2_UP,GSE37416_0H_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_UP
158,GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP,GSE27786_CD8_TCELL_VS_MONO_MAC_UP,GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY7_UP
159,GO_REGULATION_OF_INTERLEUKIN_12_PRODUCTION,GO_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GSE360_CTRL_VS_T_GONDII_DC_UP
160,GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP,GSE23568_CTRL_VS_ID3_TRANSDUCED_CD8_TCELL_UP,GO_GLIAL_CELL_DEVELOPMENT
161,GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP,GO_REGULATION_OF_DNA_RECOMBINATION,GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP
162,GSE10273_LOW_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP,GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_IN_SLE2C1_MOUSE_UP,GSE17721_12H_VS_24H_LPS_BMDC_UP
163,GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP,GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_LPS_STIM_UP,GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP
164,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_UP,GSE22432_CONVENTIONAL_CDC_VS_PLASMACYTOID_PDC_UP,GO_POSITIVE_REGULATION_OF_PEPTIDE_SECRETION
165,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_UP,GO_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY,GSE42021_TREG_VS_TCONV_PLN_UP
166,GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_UP,GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP,GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_NKTCELL_UP
167,GSE22935_24H_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP,GO_REGULATION_OF_MYOTUBE_DIFFERENTIATION,GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL10_KO_MACROPHAGE_45MIN_UP
168,GSE14000_TRANSLATED_RNA_VS_MRNA_16H_LPS_DC_UP,GO_REGULATION_OF_VIRAL_GENOME_REPLICATION,GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_UP
169,GSE9988_LPS_VS_LOW_LPS_MONOCYTE_UP,GSE36527_CD62L_HIGH_CD69_NEG_VS_CD62L_LOW_CD69_POS_TREG_KLRG1_NEG_UP,GSE3982_DC_VS_NKCELL_UP
170,GSE3203_INFLUENZA_INF_VS_IFNB_TREATED_LN_BCELL_UP,GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_UP,GSE2706_2H_VS_8H_R848_STIM_DC_UP
171,GO_PEPTIDYL_LYSINE_METHYLATION,GSE6681_DELETED_FOXP3_VS_WT_TREG_UP,GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_UP
172,GO_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GSE15659_CD45RA_NEG_CD4_TCELL_VS_NONSUPPRESSIVE_TCELL_UP,GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP
173,GO_NEURAL_CREST_CELL_DIFFERENTIATION,GSE45365_HEALTHY_VS_MCMV_INFECTION_BCELL_IFNAR_KO_UP,GSE32034_LY6C_HIGH_VS_LOW_ROSIGLIZATONE_TREATED_MONOCYTE_UP
174,GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP,GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_HET_MACROPHAGE_UP,GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_UP
175,GO_RENAL_TUBULE_DEVELOPMENT,GSE24972_WT_VS_IRF8_KO_SPLEEN_FOLLICULAR_BCELL_UP,GSE17721_4H_VS_24H_POLYIC_BMDC_UP
176,GSE22886_NEUTROPHIL_VS_MONOCYTE_UP,GSE29618_BCELL_VS_MONOCYTE_UP,GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP
177,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_1H_UP,GO_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,GSE22229_RENAL_TRANSPLANT_IMMUNOSUPP_THERAPY_VS_HEALTHY_PBMC_UP
178,GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_UP,GSE45739_NRAS_KO_VS_WT_UNSTIM_CD4_TCELL_UP,GO_DETOXIFICATION
179,GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP,GSE3982_DC_VS_MAC_LPS_STIM_UP,GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_UP
180,GSE2826_XID_VS_BTK_KO_BCELL_UP,GO_MATURATION_OF_SSU_RRNA,GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP
181,GSE29164_UNTREATED_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP,GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I
182,GO_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,GSE15659_NAIVE_VS_PTPRC_NEG_CD4_TCELL_UP,GSE27786_NKCELL_VS_NKTCELL_UP
183,GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_24H_UP,GSE40666_WT_VS_STAT4_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP,GSE14000_4H_VS_16H_LPS_DC_UP
184,GSE20715_0H_VS_48H_OZONE_LUNG_UP,GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP,GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_UP
185,GO_SKELETAL_MUSCLE_CELL_DIFFERENTIATION,GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_UP,GSE33424_CD161_HIGH_VS_INT_CD8_TCELL_UP
186,GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IL12_CD8_TCELL_UP,GO_POSITIVE_REGULATION_OF_CELL_CYCLE_ARREST,GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_UP
187,GO_CENTROMERE_COMPLEX_ASSEMBLY,GO_CELL_CELL_RECOGNITION,GSE3982_MAST_CELL_VS_TH2_UP
188,GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT,GSE45881_CXCR6HI_VS_CXCR1LO_COLONIC_LAMINA_PROPRIA_UP,GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_UP
189,GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_UP,GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_UP,GSE3039_CD4_TCELL_VS_B1_BCELL_UP
190,GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_STAT3_KO_CD4_TCELL_UP,GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP,GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY
191,GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IFNAB_CD8_TCELL_UP,GSE3982_EFF_MEMORY_VS_CENT_MEMORY_CD4_TCELL_UP,GSE4748_LPS_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP
192,GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_ROSIGLITAZONE_TREATED_UP,GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP,GO_REGULATION_OF_COAGULATION
193,GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_UP,GSE30083_SP2_VS_SP3_THYMOCYTE_UP,GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_UP
194,GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_UP,GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_UP,GSE360_CTRL_VS_T_GONDII_MAC_UP
195,GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_NK_CELL_UP,GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_UP,GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10NEG_CD62LPOS_BONE_MARROW_UP
196,GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_IFNAR_KO_UP,GSE27786_LSK_VS_NEUTROPHIL_UP,GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_UP
197,GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_UP,GSE17721_0.5H_VS_24H_LPS_BMDC_UP
198,GSE4748_CTRL_VS_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP,GSE31082_DP_VS_CD8_SP_THYMOCYTE_UP,GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP
199,GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_UP,GSE22886_NAIVE_BCELL_VS_DC_UP,GSE17721_LPS_VS_PAM3CSK4_8H_BMDC_UP
200,GSE40666_WT_VS_STAT4_KO_CD8_TCELL_UP,GSE40666_WT_VS_STAT1_KO_CD8_TCELL_UP,GSE43955_10H_VS_30H_ACT_CD4_TCELL_UP
201,GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP,GSE19825_NAIVE_VS_IL2RAHIGH_DAY3_EFF_CD8_TCELL_UP,GSE29949_CD8_NEG_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_UP
202,GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,GSE27859_DC_VS_CD11C_INT_F480_HI_MACROPHAGE_UP,GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_UP
203,GO_REGULATION_OF_NEUROTRANSMITTER_SECRETION,GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP,GSE360_L_DONOVANI_VS_T_GONDII_MAC_UP
204,GO_LYMPHOCYTE_HOMEOSTASIS,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_4H_CD4_TCELL_UP,GSE13522_WT_VS_IFNAR_KO_SKIN_UP
205,GSE37301_HEMATOPOIETIC_STEM_CELL_VS_MULTIPOTENT_PROGENITOR_UP,GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP,GO_INTEGRIN_MEDIATED_SIGNALING_PATHWAY
206,GSE3039_CD4_TCELL_VS_B2_BCELL_UP,GSE26928_CENTR_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP,GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP
207,GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP,GO_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY,GO_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION
208,GSE5503_LIVER_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP,GSE27786_CD4_TCELL_VS_MONO_MAC_UP,GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_UP
209,GSE22229_UNTREATED_VS_IMMUNOSUPP_THERAPY_RENAL_TRANSPLANT_PATIENT_PBMC_UP,GSE369_SOCS3_KO_VS_IFNG_KO_LIVER_UP,GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_INF_UP
210,GSE7852_LN_VS_FAT_TREG_UP,GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,GSE3039_CD4_TCELL_VS_ALPHAALPHA_CD8_TCELL_UP
211,GSE27786_LIN_NEG_VS_NKTCELL_UP,GSE27786_NKTCELL_VS_MONO_MAC_UP,GSE17186_BLOOD_VS_CORD_BLOOD_CD21HIGH_TRANSITIONAL_BCELL_UP
212,GSE45365_WT_VS_IFNAR_KO_BCELL_MCMV_INFECTION_UP,GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY,GO_CELL_REDOX_HOMEOSTASIS
213,GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP,GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP,GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP
214,GSE20366_CD103_KLRG1_DP_VS_DN_TREG_UP,GSE45739_NRAS_KO_VS_WT_ACD3_ACD28_STIM_CD4_TCELL_UP,GSE23502_BM_VS_COLON_TUMOR_MYELOID_DERIVED_SUPPRESSOR_CELL_UP
215,KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_UP,GSE3203_WT_VS_IFNAR1_KO_INFLUENZA_INFECTED_LN_BCELL_UP,GO_RECEPTOR_INTERNALIZATION
216,GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_UP,GSE27786_BCELL_VS_NEUTROPHIL_UP,GSE17721_POLYIC_VS_CPG_12H_BMDC_UP
217,GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION,GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,GSE20727_CTRL_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP
218,GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP,GSE24492_LYVE_NEG_VS_POS_MACROPHAGE_UP,GSE557_CIITA_KO_VS_I_AB_KO_DC_UP
219,GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_UP,GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP,GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP
220,GSE7852_TREG_VS_TCONV_UP,GSE22589_HEALTHY_VS_HIV_INFECTED_DC_UP,GSE23321_CENTRAL_MEMORY_VS_NAIVE_CD8_TCELL_UP
221,GSE41978_WT_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,GSE27786_LIN_NEG_VS_BCELL_UP,GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_UP
222,GSE24814_STAT5_KO_VS_WT_PRE_BCELL_UP,GSE15330_WT_VS_IKAROS_KO_GRANULOCYTE_MONOCYTE_PROGENITOR_UP,GSE45365_NK_CELL_VS_CD8A_DC_UP
223,GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_UP,GSE7460_TCONV_VS_TREG_LN_UP,GSE44955_MCSF_VS_MCSF_AND_IL27_STIM_MACROPHAGE_UP
224,GO_CRANIAL_SKELETAL_SYSTEM_DEVELOPMENT,GSE41867_NAIVE_VS_DAY8_LCMV_EFFECTOR_CD8_TCELL_UP,GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I_BIOGENESIS
225,GSE33292_DN3_THYMOCYTE_VS_TCF1_KO_TCELL_LYMPHOMA_UP,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_72H_ACT_CD4_TCELL_UP,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_4H_UP
226,GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP,GSE9960_GRAM_NEG_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP,GO_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS
227,GSE37301_LYMPHOID_PRIMED_MPP_VS_CD4_TCELL_UP,GO_LIPID_PHOSPHORYLATION,GSE3982_EOSINOPHIL_VS_BCELL_UP
228,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_UP,GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_UP,GO_IRON_ION_TRANSPORT
229,GO_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION,GSE27786_LIN_NEG_VS_NEUTROPHIL_UP,GSE27786_BCELL_VS_CD8_TCELL_UP
230,GSE27786_LIN_NEG_VS_NEUTROPHIL_UP,GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_UP,GO_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS
231,GSE22886_DC_VS_MONOCYTE_UP,GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP,GSE34515_CD16_NEG_VS_POS_MONOCYTE_UP
232,GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_UP,GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP,GSE3982_BASOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP
233,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_UP,GSE22611_MUTANT_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_UP,GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_UP
234,GSE28737_FOLLICULAR_VS_MARGINAL_ZONE_BCELL_BCL6_HET_UP,GO_BLASTOCYST_DEVELOPMENT,GSE40274_FOXP3_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP
235,GSE8515_CTRL_VS_IL6_4H_STIM_MAC_UP,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_UP,GO_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
236,GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_UP,GO_RNA_3_END_PROCESSING,GO_REGULATION_OF_CHEMOKINE_PRODUCTION
